true_mos,predicted_mos,test_configuration,model,mse
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4974229088749912,"(30, 2.5, 9, 5)",GradientBoostingRegressor,0.25258373252367533
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.4972826086956525,"(30, 2.5, 9, 5)",ExtraTreesRegressor,0.25272477551984834
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
1.0,0.5086295320048756,"(30, 2.5, 9, 5)",LinearRegression,0.24144493681774754
