user_id,pc_name,second,head_velocity_m_per_s,gaze_velocity_deg_per_s,head_movement_category,gaze_movement_category,overall_movement_category
3,PCCasualSquat,3,0.2531739130394109,17.69837719984308,Medium,Low,Medium
3,PCCasualSquat,4,0.22940315128349334,29.56474440098748,Medium,Low,Medium
3,PCCasualSquat,5,0.1980902729830895,10.603764621705972,Medium,Low,Medium
3,PCCasualSquat,6,1.2212146816357312,63.410760466980065,Medium,Low,Medium
3,PCCasualSquat,7,4.78598197670627,131.68833881155152,Medium,Low,Medium
3,PCCasualSquat,8,1.3893317230871551,46.16185827852901,Medium,Low,Medium
3,PCCasualSquat,9,2.7510233143031377,98.49783595038683,Medium,Low,Medium
3,PCCasualSquat,10,1.0595478883054954,47.116506568206766,Medium,Low,Medium
3,PCCasualSquat,11,0.24836424027321208,15.26115785548997,Medium,Low,Medium
3,PCCasualSquat,12,0.4534999592606843,83.67039413525937,Medium,Low,Medium
3,PCCasualSquat,13,1.5933236002934335,98.7659284749712,Medium,Low,Medium
3,PCCasualSquat,14,2.2225537596535294,98.20923233154603,Medium,Low,Medium
3,PCCasualSquat,15,1.8285197997308527,115.00901281981103,Medium,Low,Medium
3,PCCasualSquat,16,1.4053146547107576,87.7563445641486,Medium,Low,Medium
3,PCCasualSquat,17,1.9149337169516014,95.3867796940951,Medium,Low,Medium
3,PCCasualSquat,18,1.526179346626087,86.00728484324638,Medium,Low,Medium
3,PCCasualSquat,19,1.8443088017682816,165.82251651691146,Medium,Low,Medium
3,PCFlowerDance,1,0.034868545264976285,15.725272090803948,Medium,Low,Medium
3,PCFlowerDance,2,0.03859021707157904,9.981526555855087,Medium,Low,Medium
3,PCFlowerDance,3,0.045357457587053285,26.07004528588317,Medium,Low,Medium
3,PCFlowerDance,4,0.19104866530382325,21.093279633031145,Medium,Low,Medium
3,PCFlowerDance,5,0.31349348840479097,5.285506941859877,Medium,Low,Medium
3,PCFlowerDance,6,0.9995690801596391,28.92397907824138,Medium,Low,Medium
3,PCFlowerDance,7,0.38864988501335346,30.427739932529818,Medium,Low,Medium
3,PCFlowerDance,8,0.3270508598691047,8.739026827121904,Medium,Low,Medium
3,PCFlowerDance,9,0.7052437613259512,36.83291799143154,Medium,Low,Medium
3,PCFlowerDance,10,1.5398959366342024,86.9506861191776,Medium,Low,Medium
3,PCFlowerDance,11,0.39479203846591965,30.917805708378296,Medium,Low,Medium
3,PCFlowerDance,12,0.2616978055346715,18.82707069981044,Medium,Low,Medium
3,PCFlowerDance,13,0.05414598214893315,3.9281446851400688,Medium,Low,Medium
3,PCFlowerDance,14,0.3650180024394604,54.646859738732125,Medium,Low,Medium
3,PCFlowerDance,15,1.0043803460196896,41.65170133827704,Medium,Low,Medium
3,PCFlowerDance,16,1.4264354370765466,103.62093483867207,Medium,Low,Medium
3,PCFlowerDance,17,0.975984214069866,91.19138745000404,Medium,Low,Medium
3,PCFlowerDance,18,0.6754629702549394,92.47381748256568,Medium,Low,Medium
3,PCFlowerDance,19,0.1907389762062769,8.013408232505363,Medium,Low,Medium
3,PCReadyForWinter,1,0.061022779673986956,4.905623323843083,Medium,Low,Medium
3,PCReadyForWinter,2,0.05793035314058596,33.074165793345905,Medium,Low,Medium
3,PCReadyForWinter,3,0.01873726843056313,4.369869980291042,Medium,Low,Medium
3,PCReadyForWinter,4,0.22938845465850327,11.106605217215304,Medium,Low,Medium
3,PCReadyForWinter,5,0.3888965492991675,32.385551518454854,Medium,Low,Medium
3,PCReadyForWinter,6,0.3306633967654764,6.594130136476281,Medium,Low,Medium
3,PCReadyForWinter,7,0.6189789022798361,17.135358255706354,Medium,Low,Medium
3,PCReadyForWinter,8,0.3689939119916943,15.956719510686508,Medium,Low,Medium
3,PCReadyForWinter,9,0.5412726781584828,32.21667170829994,Medium,Low,Medium
3,PCReadyForWinter,10,0.5140403560044929,39.122749486994515,Medium,Low,Medium
3,PCReadyForWinter,11,0.3595099804442103,25.490035840041386,Medium,Low,Medium
3,PCReadyForWinter,12,0.9649149505149404,64.50264847121238,Medium,Low,Medium
3,PCReadyForWinter,13,0.42735739439915904,17.538464446084646,Medium,Low,Medium
3,PCReadyForWinter,14,1.0730495847658204,58.187860134227,Medium,Low,Medium
3,PCReadyForWinter,15,0.3718281991070064,27.683485887305228,Medium,Low,Medium
3,PCReadyForWinter,16,0.4576949914137352,24.719666209514912,Medium,Low,Medium
3,PCReadyForWinter,17,0.5560902166618549,29.41793571672547,Medium,Low,Medium
3,PCReadyForWinter,18,0.4345724505388649,25.756102376087934,Medium,Low,Medium
3,PCReadyForWinter,19,0.2240457561750473,15.0376083275585,Medium,Low,Medium
4,PCBlueSpin,1,0.042267566274333646,12.082236610863882,Medium,Medium,Medium
4,PCBlueSpin,2,0.019060830702761464,5.1371000497255075,Medium,Medium,Medium
4,PCBlueSpin,3,0.6199100788255604,102.76311845373097,Medium,Medium,Medium
4,PCBlueSpin,4,0.2965174259069213,80.17898289482847,Medium,Medium,Medium
4,PCBlueSpin,5,1.2830952234518915,91.76529786010042,Medium,Medium,Medium
4,PCBlueSpin,6,0.42792621740392817,17.68409821298586,Medium,Medium,Medium
4,PCBlueSpin,7,1.6532543172075203,83.68973638200579,Medium,Medium,Medium
4,PCBlueSpin,8,0.6842289276420236,25.361113747306476,Medium,Medium,Medium
4,PCBlueSpin,9,2.5842980539865454,121.25965277992543,Medium,Medium,Medium
4,PCBlueSpin,10,1.5163669342651633,56.52834885554472,Medium,Medium,Medium
4,PCBlueSpin,11,1.3579038651956525,109.98609552322891,Medium,Medium,Medium
4,PCBlueSpin,12,0.4296715275237514,49.11389481307308,Medium,Medium,Medium
4,PCBlueSpin,13,0.022939851018190193,4.6921607671007965,Medium,Medium,Medium
4,PCBlueSpin,14,0.24508787494263376,9.600310358959264,Medium,Medium,Medium
4,PCBlueSpin,15,1.1922052229786122,114.08673880401233,Medium,Medium,Medium
4,PCBlueSpin,16,0.9853712310458915,103.51649377297004,Medium,Medium,Medium
4,PCBlueSpin,17,0.9015067645798599,65.22072918706823,Medium,Medium,Medium
4,PCBlueSpin,18,1.1462016911253092,106.40289809619817,Medium,Medium,Medium
4,PCBlueSpin,19,1.2222614869753523,153.02359003900085,Medium,Medium,Medium
4,PCCasualSquat,1,0.016391998474236027,10.681213724530984,Medium,Medium,Medium
4,PCCasualSquat,2,0.028257994354306697,25.954928617997084,Medium,Medium,Medium
4,PCCasualSquat,3,0.4246671209834828,67.35666528496863,Medium,Medium,Medium
4,PCCasualSquat,4,0.1865267392018686,16.19522031620396,Medium,Medium,Medium
4,PCCasualSquat,5,0.4369702966100719,27.61356809242109,Medium,Medium,Medium
4,PCCasualSquat,6,0.6479281864764775,28.31404537161677,Medium,Medium,Medium
4,PCCasualSquat,7,0.5052188521779682,24.612019056994644,Medium,Medium,Medium
4,PCCasualSquat,8,1.1286885851928947,70.70043092460543,Medium,Medium,Medium
4,PCCasualSquat,9,0.9173285732111868,78.89871057230881,Medium,Medium,Medium
4,PCCasualSquat,10,0.8987376973565958,60.64619300381823,Medium,Medium,Medium
4,PCCasualSquat,11,1.110334404307424,96.18052081865463,Medium,Medium,Medium
4,PCCasualSquat,12,0.8719410353635252,81.13982290647114,Medium,Medium,Medium
4,PCCasualSquat,13,0.9405496986747376,40.55588649296092,Medium,Medium,Medium
4,PCCasualSquat,14,0.5949434380239998,31.242138175287717,Medium,Medium,Medium
4,PCCasualSquat,15,1.0784336834471207,66.8592731121026,Medium,Medium,Medium
4,PCCasualSquat,16,1.357574373789699,91.26480009129881,Medium,Medium,Medium
4,PCCasualSquat,17,0.528216690433036,43.180711028768386,Medium,Medium,Medium
4,PCCasualSquat,18,1.055824084486644,92.7212495209403,Medium,Medium,Medium
4,PCCasualSquat,19,0.5459336533485827,40.55922840415544,Medium,Medium,Medium
4,PCFlowerDance,1,0.6438175810895372,98.63994606189381,Medium,Medium,Medium
4,PCFlowerDance,2,0.3806722123498252,19.797736580531485,Medium,Medium,Medium
4,PCFlowerDance,3,0.5042366429694305,36.615984802914745,Medium,Medium,Medium
4,PCFlowerDance,4,0.5801164728056039,38.34794965910609,Medium,Medium,Medium
4,PCFlowerDance,5,0.45162107381027694,30.83086081075982,Medium,Medium,Medium
4,PCFlowerDance,6,0.4114259482866414,19.1079810285489,Medium,Medium,Medium
4,PCFlowerDance,7,0.818895271750397,53.92234446032145,Medium,Medium,Medium
4,PCFlowerDance,8,0.7282274207553763,47.856574346339094,Medium,Medium,Medium
4,PCFlowerDance,9,0.687007961353756,37.31468163302358,Medium,Medium,Medium
4,PCFlowerDance,10,0.8783657986204636,98.23696221900002,Medium,Medium,Medium
4,PCFlowerDance,11,0.45313120002894136,38.13180381556701,Medium,Medium,Medium
4,PCFlowerDance,12,1.466466284578306,68.93615972094337,Medium,Medium,Medium
4,PCFlowerDance,13,0.6662995415258887,55.67792551216336,Medium,Medium,Medium
4,PCFlowerDance,14,0.36748039813285804,18.193628427172985,Medium,Medium,Medium
4,PCFlowerDance,15,1.9130257588268933,96.83757417880616,Medium,Medium,Medium
4,PCFlowerDance,16,0.9206523127130478,41.62004697119762,Medium,Medium,Medium
4,PCFlowerDance,17,1.4211346070246074,64.33010673503365,Medium,Medium,Medium
4,PCFlowerDance,18,1.3002067105149968,144.36057740406753,Medium,Medium,Medium
4,PCFlowerDance,19,1.2614530461818143,92.4770484973517,Medium,Medium,Medium
4,PCReadyForWinter,1,0.01402993457421632,10.313499846185985,Medium,Medium,Medium
4,PCReadyForWinter,2,0.3056364614543282,87.43449885055612,Medium,Medium,Medium
4,PCReadyForWinter,3,0.05247859419078758,21.580741320136994,Medium,Medium,Medium
4,PCReadyForWinter,4,0.47095807320911975,18.897709058996544,Medium,Medium,Medium
4,PCReadyForWinter,5,0.37304364990844235,11.588055077762297,Medium,Medium,Medium
4,PCReadyForWinter,6,0.9646191278479839,50.76248521282777,Medium,Medium,Medium
4,PCReadyForWinter,7,0.5746305062042418,28.298711253255657,Medium,Medium,Medium
4,PCReadyForWinter,8,0.4951858203326635,19.683276476025625,Medium,Medium,Medium
4,PCReadyForWinter,9,0.510523385438751,26.789875191199453,Medium,Medium,Medium
4,PCReadyForWinter,10,1.0538089040482774,102.70341047032889,Medium,Medium,Medium
4,PCReadyForWinter,11,0.5027029018943244,35.51100620214793,Medium,Medium,Medium
4,PCReadyForWinter,12,1.530534277992808,144.85886744686238,Medium,Medium,Medium
4,PCReadyForWinter,13,0.32834573983972254,94.17809889089229,Medium,Medium,Medium
4,PCReadyForWinter,14,0.2161705446648586,7.722783657676289,Medium,Medium,Medium
4,PCReadyForWinter,15,0.3875186723079863,14.59063998263466,Medium,Medium,Medium
4,PCReadyForWinter,16,0.35665093480576415,26.957516857551976,Medium,Medium,Medium
4,PCReadyForWinter,17,0.23230883503272498,35.93117249665413,Medium,Medium,Medium
4,PCReadyForWinter,18,0.016449955331379103,16.560188512149235,Medium,Medium,Medium
4,PCReadyForWinter,19,0.4169716385844799,65.70049562434984,Medium,Medium,Medium
5,PCBlueSpin,1,0.1201093409479873,35.48448235423128,Medium,Medium,Medium
5,PCBlueSpin,2,0.21611025684133406,9.272601548293803,Medium,Medium,Medium
